Mean Value (nm/s^2),Std (nm/s^2)
-36.05332888,119.3362762
135.0916534,117.98123
-15.53894321,124.5746459
-10.15903307,133.6942093
288.2062799,141.074595
8.773764277,146.6156207
159.5918921,162.9230191
-1.192673839,153.7228136
45.10216456,173.4071621
3.802120842,202.3365788
-64.43786016,221.4180563
308.3938019,293.2445696
-18.35930015,216.531467
37.60430204,186.6810423
238.9042476,232.4652535
186.4850053,152.1213656
-72.40535794,174.2274254
45.45903605,111.0297976
-5.034855732,152.3022449
132.3329688,112.9601529
-213.2894633,114.3606886
100.9197234,127.9685057
-260.6245634,227.3243393
172.937181,108.2398368
-146.627295,132.6475907
193.9099676,124.5759036
428.3974681,266.441379
71.50052274,291.8219036
-40.31013338,149.3360011
39.31403258,111.3867248
-95.28563988,104.242261
205.872506,113.8521669
55.9847851,156.3093215
-122.1443603,131.9007506
162.9353932,111.2307057
185.0736179,107.9280688
225.3351988,109.9015716
207.5451133,92.95947441
-120.7183499,99.07190071
13.38582569,99.86577188
36.7500148,108.838304
371.5076481,143.6161923
154.5964364,143.2018455
69.73845294,94.08278658
-25.22826209,97.5714864
148.1767527,128.8994756
197.2226036,111.5485217
-153.3192853,121.1452363
59.74346567,144.0706373
13.80450943,131.0931976
241.8627821,99.63176067
134.7819941,92.94471363
-134.7900633,172.1833215
-139.1020522,160.8188222
47.56804049,110.4072358
5.346705093,94.33855123
64.79843951,90.71937154
29.02806247,80.39534208
156.2609364,104.1876311
80.21033996,85.2181589
51.97584553,84.36618369
73.05047999,89.27379785
6.014632565,78.1980609
30.48248404,87.70061084
-205.5482053,111.8565118
174.2270045,127.5105894
258.2857597,139.1957883
-93.70582562,249.6245026
139.6090079,122.5902407
179.7249953,94.40519272
68.98586784,125.8881271
-157.1152358,167.8870799
51.76658986,118.0902954
-97.71289208,210.6939277
237.5210396,151.096507
-81.96108812,162.1330738
-78.23138746,361.7724315
-310.0792729,322.7839507
153.8821836,393.6542079
202.0291272,435.4613737
-34.96405,227.1280995
58.46786192,202.3263427
50.53369478,190.4133219
-213.8066039,223.9943488
-67.32350246,143.9298596
243.8162954,137.0159469
-13.1175139,114.8470219
106.9081328,87.02742657
6.626394952,123.613817
191.1939373,120.1530847
380.3551506,237.9479109
-38.69433512,215.9352037
-458.7072758,173.9306625
66.71833539,136.4429196
-196.8018799,165.2657543
-310.0334226,145.4164409
72.59023829,145.1161471
-177.6535962,186.4480384
37.07192242,191.1256259
-97.23442146,146.728435
474.9293303,164.7601815
-212.612669,175.1921952
69.92638366,164.7840915
112.2753575,148.06816
-151.4995175,146.2090467
-138.8447216,120.6438443
14.76904447,160.7924717
78.5907115,160.4242266
-31.11565814,188.38234
-4.897030454,187.7976484
-253.8860598,199.649412
585.1483677,479.8217594
430.7204336,194.5763608
169.3484597,174.0447224
-323.133269,218.4004652
327.2169386,192.4059099
119.5270276,213.9531118
104.1137683,198.9708758
205.4778052,206.9321233
-117.3867972,160.5084278
382.2785748,226.0806372
-429.2266201,238.642376
85.89473366,151.7103024
66.4866496,150.2964393
266.6101972,192.7813023
153.3412303,179.6614199
165.2323996,182.7202101
-75.92196142,174.4190737
-209.3210697,165.6797358
8.574031067,195.8044228
174.0471923,135.1086745
-28.85206074,119.3524582
-12.03503252,93.90051423
81.92181443,100.1047567
66.21941505,138.1624109
-92.63353519,163.7285345
190.9825023,151.9470459
44.08329544,139.2293852
50.01953729,134.704653
-175.2474548,144.1806004
5.330494944,153.9138645
76.65307547,139.7267687
-98.46216159,191.9249103
183.038041,145.993807
134.6330477,192.1023203
133.2655406,100.2559584
95.9273309,127.1424947
-40.81308639,156.3312109
6.449353289,160.5353212
-267.8476593,141.3635559
-1.067562159,136.0564748
-310.140308,122.795138
66.15450523,115.3612365
11.30192771,136.8132266
-176.1339713,112.4304346
148.8864516,115.0318743
-74.15279862,138.8743603
-197.6101314,163.1993175
99.54789347,218.6866693
129.6914969,190.9010466
164.9494056,246.9864545
386.7380964,246.4831197
-340.264798,203.2046275
199.7709625,196.7510743
239.987446,224.9473476
394.2822052,242.2383177
67.79461316,198.5022892
213.1347273,352.6643684
-301.2762914,436.6411345
56.52406292,112.4338947
-120.2505047,116.5426251
176.5332301,146.464904
4.903956827,195.3132806
-41.40384555,226.2646584
-42.557103,193.2509917
-215.0005917,150.0136709
138.0190116,129.2224057
45.61308949,130.0922033
138.3253431,163.2965413
-132.4659725,177.0331089
143.7502168,235.4416659
-146.1612152,214.0465204
-83.15718228,218.2367716
49.54575538,155.0237582
202.5677653,120.6720439
-202.4526322,185.9552443
-169.3029346,176.2700862
-17.59316358,166.3553882
122.3843469,163.9528608
-46.21210845,110.6515621
-111.8285018,123.1110803
-20.2818983,117.6193169
6.665816178,106.6649857
249.2352237,123.1859924
25.70956082,132.3151128
-57.8183706,130.88807
153.5072326,116.3940254
32.40542186,146.6035438
178.5527345,167.8775757
-86.05977368,129.0251823
-31.29974895,135.310778
229.2211857,111.9547764
-52.73429238,124.0295375
-2.764435825,148.3248801
596.8003116,233.5464569
182.3544487,141.3749804
33.09707408,148.1240571
15.44186078,163.0060052
-118.6927304,164.1011487
-227.2222044,176.4832311
137.602579,201.1958754
103.4235412,192.309287
189.7158646,270.2550549
306.2888004,244.8748286
-192.1908275,236.2327405
-12.96976163,198.262307
277.9589639,135.7717357
-13.01131182,141.410492
207.0098496,153.8567743
128.0381617,122.842857
-12.69837839,150.7128983
-189.3697844,165.203062
-17.56742023,163.8697943
145.7800313,157.3406316
254.1288368,189.2379731
-364.935278,185.2253386
98.62305693,155.753928
186.5335004,185.5144906
-210.5990806,201.1874441
-211.8153226,149.8716365
52.58225501,147.0464451
178.6494261,141.766584
241.8264404,144.4788836
170.4143636,192.2349575
88.27811277,108.0037093
-278.799839,155.3493352
-212.7019485,166.9431619
-90.97193705,186.2945401
475.1190178,273.803799
-27.35760425,101.7560247
-42.69398735,101.986786
-166.6527761,119.5018055
-27.65267109,85.83398199
176.1289846,101.5732851
298.5119446,185.2298754
-196.069212,101.5033704
115.1157985,117.5704423
-35.52110834,122.6332504
250.4252596,97.12067056
-117.8028897,90.72507928
-136.5353763,124.1549301
195.1341676,102.8305037
218.1556607,109.1540754
-71.27239407,98.65113483
-94.2784689,125.0416957
21.2705657,142.6594096
-94.03957914,117.8643862
-39.93590436,94.23929391
-120.0733693,99.88574207
155.6178768,74.8640737
-114.6389686,76.30071512
-129.1092469,104.8611583
-7.018375151,85.02878977
-92.73780884,96.21050742
17.13364652,110.3547099
48.76690387,93.09783748
-269.3934758,126.2425704
66.59753126,166.0008017
-216.7068757,139.0695483
-201.1413875,106.466526
75.64359083,131.4376397
199.8529101,121.8409766
145.9274608,116.6264648
-51.50638348,193.7385883
31.37662851,143.9408667
109.8951973,123.0801623
71.85635618,103.8528267
48.45977114,168.3862708
194.6177609,177.1070783
-126.7129755,76.06550058
116.4011168,70.57955854
-16.3194662,83.00057808
-27.69701303,94.17328041
32.66844323,77.14424517
182.5670251,66.4624957
-17.38708118,91.3403721
144.6522101,90.24528481
-99.10655489,126.541149
12.80766149,112.4541049
235.4610819,127.6601332
-161.3196929,108.6758091
-81.54861498,118.0474144
13.82904601,132.6603246
22.76252805,127.4236094
-119.04105,114.0325964
65.88605943,114.6430259
117.6058001,122.6585415
2.761833986,122.5580707
-85.06574333,81.09360595
26.51905322,108.1272229
5.783612727,70.04328512
-43.51548105,59.54800812
-41.82133376,137.764
-20.97938229,87.54979422
24.07682435,71.18445217
111.9515005,101.3328147
-106.8434318,82.04811495
32.37618493,75.05090596
-2.010558017,111.359166
79.13680544,99.79401515
-8.696825884,114.4704444
215.9663601,147.1662567
-52.3942672,139.6685258
111.1374148,114.7151324
-134.0100329,160.8343256
-217.944742,91.73641614
-48.57195122,97.44654778
-22.55763807,151.5933869
-205.7270518,95.07261174
249.1303883,116.7525026
-241.8781034,163.6642538
56.23964787,97.04033273
143.9427022,88.87828668
110.5344131,125.2601373
-154.5809368,83.27791169
296.9948145,213.761257
42.28063013,100.4914478
55.70677018,122.8211934
73.27393178,135.6969919
110.208449,102.7572734
-55.32754461,85.85009402
112.7568005,133.8946345
188.4983083,150.3991007
-23.05092539,108.7947219
54.14105619,98.84587463
57.6738879,87.28043066
-16.35842351,88.5381591
11.72120224,64.21521824
99.25546739,98.52532377
-23.09128205,77.59756119
117.8035807,71.44907691
48.58145126,105.645445
73.57405184,90.53430293
204.5865627,114.1046031
25.42481549,167.7020119
64.04924539,85.59277443
-115.7005304,93.19455675
-26.23012516,119.8176231
-121.4756415,97.18907579
177.1768745,98.4264368
-23.70895114,95.95342873
45.64220899,125.4646208
3.628173648,95.02621935
94.24943039,153.8358368
86.19578972,93.02079228
-24.18884584,94.48952235
172.8632367,109.0175378
100.1613272,94.98929371
31.28368261,104.3688166
184.523617,127.4836475
115.3738184,94.89807175
92.52964147,161.436507
312.229336,156.2378554
167.2608831,123.2474989
86.47011242,102.0330026
-46.1393127,93.6362683
-32.46297236,169.7797045
161.453949,170.0378755
136.9179721,121.4135897
19.90489166,131.4315716
-2.49830641,122.1419901
102.6718797,172.7404619
-107.5242238,144.9785577
72.91766706,196.7329066
194.8158183,142.3393882
57.73986503,82.01045919
28.25010467,99.43462931
-50.87790755,94.36946006
99.84742853,88.04825176
251.147634,190.8224587
-93.40257243,123.7312488
-99.15131335,97.44815871
19.77788802,110.079704
24.29785823,121.4746906
-9.198516029,98.82460833
-223.8684769,109.2345269
53.63073782,154.1794597
97.96403182,158.375423
28.78708596,106.1583498
257.0900218,169.064134
-54.66145242,136.6600864
-231.9575892,132.6528804
68.61759909,172.4371282
231.8844748,297.6180625
97.35903834,183.3099316
75.78842187,104.7644076
131.6144669,89.94318798
149.220229,118.3720245
110.761822,129.0886907
-56.8651034,141.3760126
23.97714736,121.7199692
-160.9262096,159.1307246
44.71742738,126.7863736
52.37274641,146.5705998
-30.76647033,177.5793232
-79.93637509,96.04574883
162.7135694,109.185192
-2.401512182,118.7507413
-32.76426931,99.90810994
201.5820537,181.5652722
152.1216598,135.9468413
-51.71581356,172.1985088
-120.8203956,151.4148002
-263.4934451,194.2110886
-176.91083,132.0738315
-83.9921776,146.1452952
-51.66306833,216.4088362
272.714954,125.2841642
58.63094169,125.2259089
220.7610289,286.4545763
411.5535642,172.767184
-71.1207782,238.0468257
225.4743462,161.4066117
