category,title,url,status
canonical research source,EMDrive high-accuracy null test,https://doi.org/10.1007/s12567-021-00385-1,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Einstein Online elevator and equivalence principle,https://www.einstein-online.info/en/spotlight/equivalence_principle/,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Einstein Online equivalence principle,https://www.einstein-online.info/en/explandict/equivalence-principle/,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Einstein equivalence principle for quantum reference frames,https://arxiv.org/abs/2012.13754,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Electro-gravity force claim,https://arxiv.org/abs/physics/0509068,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Entropic gravity experimental tests,https://doi.org/10.1103/PhysRevResearch.3.033065,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Entropy of Hawking radiation review,https://doi.org/10.1103/RevModPhys.93.035002,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Eot-Wash torsion balances,https://www.npl.washington.edu/eotwash/torsion-balances,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Experimental bounds on collapse models,https://doi.org/10.1103/PhysRevD.94.124036,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,GBAR experiment paper,https://cds.cern.ch/record/1505302?ln=en,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,GBAR official CERN page,https://home.cern/science/experiments/gbar/,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Generic warp-drive energy conditions,https://doi.org/10.1103/PhysRevD.105.064038,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Gravitational decoherence review,https://arxiv.org/abs/1706.05677,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Gravity Probe B frame dragging,https://doi.org/10.1103/PhysRevLett.106.221101,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Gravity measured with levitated milligram mass,https://doi.org/10.1126/sciadv.adk2949,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Gravity-induced entanglement and decoherence,https://doi.org/10.1103/PhysRevD.103.026017,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Gravity-mediated decoherence,https://doi.org/10.1103/PhysRevD.110.024022,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Hypothetical gravity control review,https://arxiv.org/abs/physics/0412176,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Hypothetical long-range interactions from force measurements,https://doi.org/10.1103/PhysRevD.47.2882,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Inaccessibility of traversable wormholes,https://doi.org/10.1103/PhysRevD.106.044035,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Independent Mach-effect investigation,https://tud.qucosa.de/id/qucosa%3A87665,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Inverse-square law 2–105 cm tests,https://doi.org/10.1103/PhysRevD.32.3084,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Inverse-square law laboratory test,https://doi.org/10.1103/PhysRevLett.44.1645,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Lattice atom interferometer gravitational attraction,https://www.nature.com/articles/s41586-024-07561-3,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Levitated two-dimensional oscillator,https://doi.org/10.1038/s41467-025-59213-3,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Limits of gravity-mediated entanglement inference,https://doi.org/10.1103/PhysRevD.108.L101702,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,MICROSCOPE equivalence-principle final results,https://doi.org/10.1103/PhysRevLett.129.121102,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Mach-effect thruster experiment,https://arxiv.org/abs/1301.6178,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Massive quantum systems and gravity review,https://doi.org/10.1103/RevModPhys.97.015003,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Mechanical anti-gravity evaluation protocol,https://ntrs.nasa.gov/api/citations/20070004897/downloads/20070004897.pdf,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,NASA Artificial Gravity,https://www.nasa.gov/podcasts/houston-we-have-a-podcast/artificial-gravity/,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,NASA Breakthrough Propulsion Physics Program,https://ntrs.nasa.gov/citations/19980201240,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,NASA Breakthrough Propulsion assessment,https://ntrs.nasa.gov/api/citations/20060000022/downloads/20060000022.pdf,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,NASA Breakthrough Propulsion workshop proceedings,https://ntrs.nasa.gov/citations/19990023204,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,NASA Challenge to Create the Space Drive,https://ntrs.nasa.gov/citations/19990023236,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,NASA Podkletnov mechanism assessment,https://ntrs.nasa.gov/api/citations/19990046249/downloads/19990046249.pdf,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,NASA Prospects for Breakthrough Propulsion,https://ntrs.nasa.gov/citations/20040070788,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,NASA coupled EM-gravity fields report,https://ntrs.nasa.gov/citations/20020068834,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,NASA superconducting gravity experiments,https://ntrs.nasa.gov/citations/19990019627,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Negative effective mass BEC,https://doi.org/10.1103/PhysRevLett.118.155301,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Negative energy density in QFT review,https://arxiv.org/abs/0911.3597,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Negative mass in contemporary physics and propulsion,https://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/20190033453.pdf,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Observational search for negative matter,https://ntrs.nasa.gov/citations/19990023226,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,One-milligram torsional pendulum,https://doi.org/10.1038/s42005-026-02514-w,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Physical warp drives,https://doi.org/10.1088/1361-6382/abdf6e,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Podkletnov gravity shielding claim,https://arxiv.org/abs/physics/0108005,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Positive-energy soliton warp proposal,https://doi.org/10.1088/1361-6382/abe692,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Quantum formulation of Einstein equivalence principle,https://www.nature.com/articles/s41567-018-0197-6,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Quantum frames of reference,https://doi.org/10.1103/PhysRevD.30.368,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Quantum inequalities and singular negative energy,https://doi.org/10.1103/PhysRevD.57.4839,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Quantum reference frames and covariance,https://www.nature.com/articles/s41467-018-08155-0,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Quantum superposition of spacetimes and EEP,https://arxiv.org/abs/2109.01405,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Rotating-superconductor gravitomagnetism claim,https://arxiv.org/abs/gr-qc/0610015,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Steady electromagnetic-gravity coupling null search,https://doi.org/10.1038/s41598-024-70286-w,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Submillimeter inverse-square law test,https://doi.org/10.1103/PhysRevLett.98.021101,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Tajmar gravitomagnetic superconductors review/claim,https://arxiv.org/abs/gr-qc/0607086,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Warp Factory numerical audits,https://arxiv.org/abs/2404.03095,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Weight of superconductors null test,https://arxiv.org/abs/gr-qc/0404005,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,"Wormholes, time machines, weak energy condition",https://doi.org/10.1103/PhysRevLett.61.1446,URL captured; metadata/title web-located or inherited from Evidence Register
code,Secondary Eot-Wash analysis,https://github.com/aditikrishak/EotWash_analysis,secondary analysis repository
dissertation,Lee dissertation,https://digital.lib.washington.edu/researchworks/items/971237d1-100a-41ae-9027-d1bbce8cf315/full,repository record
equation renderer,MathJax 3 SVG renderer,https://cdn.jsdelivr.net/npm/mathjax@3/es5/tex-svg.js,runtime dependency
paper,Eot-Wash 2020 article,https://doi.org/10.1103/PhysRevLett.124.101101,peer reviewed
paper,Eot-Wash preprint,https://arxiv.org/abs/2002.11761,preprint
paper,Nelson-Walsh model,https://arxiv.org/abs/0802.0762,theory source
paper,Panda Nature paper,https://doi.org/10.1038/s41586-024-07561-3,peer reviewed
paper,Panda accepted manuscript,https://par.nsf.gov/servlets/purl/10525888,primary manuscript
primary dataset,Panda Fig 3a,https://zenodo.org/api/records/10995225/files/Data%20Fig%203a.csv/content,CC BY 4.0 dataset
primary dataset,Panda Fig 3b,https://zenodo.org/api/records/10995225/files/Data%20Fig%203b.csv/content,CC BY 4.0 dataset
primary dataset,Panda Fig 3d,https://zenodo.org/api/records/10995225/files/Data%20Fig%203d.csv/content,CC BY 4.0 dataset
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://arxiv.org/abs/1502.03888,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://arxiv.org/abs/1603.06587,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://arxiv.org/abs/1709.09071,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://arxiv.org/abs/1812.08244,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://arxiv.org/abs/2310.01344,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://arxiv.org/abs/2511.09750,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://doi.org/10.1007/s41114-018-0011-x,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://doi.org/10.5281/zenodo.10995225,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://inspirehep.net/literature/440391,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://www.damtp.cam.ac.uk/user/tong/gr/grhtml/S4.html,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://www.youtube-nocookie.com/embed/JMWEQwIt_ew,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://www.youtube-nocookie.com/embed/XKRMbVpJ3Rc?start=160,URL present in Rev02 site content; registry-completeness addition
site-linked supplemental,Referenced by Rev02 HTML/recovery assets,https://www.youtube-nocookie.com/embed/ybxSgIBbBh8,URL present in Rev02 site content; registry-completeness addition
video,V1,https://www.youtube.com/watch?v=ybxSgIBbBh8,embedded source
video,V2,https://www.youtube.com/watch?v=XKRMbVpJ3Rc&t=160s,embedded source
video,V3,https://www.youtube.com/watch?v=JMWEQwIt_ew,embedded source
video primary source,Video 02 quantum repulsion paper,https://arxiv.org/abs/2602.12266,primary paper
video transcript source,Video 01 secondary transcript,https://classx.org/the-mysterious-force-of-gravity-explained-by-neil-degrasse-tyson/,secondary transcript; not primary evidence
video transcript source,Video 03 timestamped transcript,https://subsaga.com/bbc/documentaries/science/horizon/2015-2016/2-project-greenglow-the-quest-for-gravity-control.html,secondary transcript index
